formation_id,type_formation,satisfaction,qualite_formateur,pertinence_contenu,logistique,applicabilite,commentaires
1,Lean Six Sigma,4,5,4,3,4,Très bon contenu, formateur excellent
2,SAP,3,3,3,2,2,Formation dense, manque de pratique
3,Soft Skills,5,5,5,5,5,Excellent, très utile pour mon travail
4,Lean Six Sigma,2,2,2,2,2,Problème d'organisation, difficile à suivre
5,Formations Techniques,4,4,4,4,4,Bon cours, besoin de plus d'exemples
6,SAP,3,3,3,3,3,Neutre, contenu confus par moments
7,Soft Skills,4,5,4,4,4,Très satisfait, amélioration notable
8,Formations Techniques,2,3,2,2,2,Manque de clarté, formateur peu disponible
9,Lean Six Sigma,5,5,5,4,5,Excellent, super application au poste
10,SAP,4,4,4,3,4,Bon, mais trop rapide
